ID_Poza,Cota,Volumen
Chugurana,3872.2,429.23
Chugurana,3872.4,749.34
Chugurana,3872.6,1380.96
Chugurana,3872.8,2349.19
Chugurana,3873,3606.54
Chugurana,3873.2,5085.17
Chugurana,3873.4,6646.86
Chugurana,3873.6,8242.08
Chugurana,3873.8,9865.27
Chugurana,3874,11516.23
Chugurana,3874.2,13194.87
Chugurana,3874.4,14901.19
Chugurana,3874.6,16635.3
Chugurana,3874.8,18397.35
Chugurana,3875,20187.37
Chugurana,3875.2,22005.28
Chugurana,3875.4,23851.06
Chugurana,3875.6,25724.86
Chugurana,3875.8,27626.88
Chugurana,3876,29557.17
Chugurana,3876.2,31515.79
Chugurana,3876.4,33502.78
Chugurana,3876.6,35518.12
Chugurana,3876.8,37561.81
Chugurana,3877,39633.93
Chugurana,3877.2,41734.52
Chugurana,3877.4,43863.62
Chugurana,3877.6,46021.33
Chugurana,3877.8,48207.74
Chugurana,3878,50422.98
Chugurana,3878.2,52667.24
Chugurana,3878.4,54940.66
Chugurana,3878.6,57243.31
Chugurana,3878.8,59575.22
Chugurana,3879,61936.53
Chugurana,3879.2,64327.44
Chugurana,3879.4,66748.12
Chugurana,3879.6,69198.91
Chugurana,3879.8,71680.04
Chugurana,3879.8,71680.04
Chugurana,3879.8,71680.04
Chugurana,3880,72586.42
Chugurana,3880,72586.42
Chugurana,3880,72586.42
Chugurana,3880.2,73892.88
Chugurana,3880.2,73892.88
Chugurana,3880.4,75386.11
Chugurana,3880.4,75386.11
Chugurana,3880.6,77052.95
Chugurana,3880.6,77052.95
Chugurana,3880.8,78780.46
Chugurana,3880.8,78780.46
Chugurana,3881,80089
Georgete,3966,108
Georgete,3966.2,225.64
Georgete,3966.4,504.89
Georgete,3966.6,868.85
Georgete,3966.8,1242.98
Georgete,3967,1626.8
Georgete,3967.2,2020.35
Georgete,3967.4,2423.69
Georgete,3967.6,2836.86
Georgete,3967.8,3259.92
Georgete,3968,3692.92
Georgete,3968.2,4135.9
Georgete,3968.4,4588.93
Georgete,3968.6,5052.04
Georgete,3968.8,5525.3
Georgete,3969,6008.75
Georgete,3969.2,6502.44
Georgete,3969.4,7006.42
Georgete,3969.6,7520.77
Georgete,3969.8,8046.02
Georgete,3970,8583.05
Georgete,3970.2,9131.95
Georgete,3970.4,9692.02
Georgete,3970.6,10262.58
Georgete,3970.8,10843.29
Georgete,3971,11435
Georgete,3971.2,12038.76
Georgete,3971.4,12654.41
Georgete,3971.6,13281.58
Georgete,3971.8,13920.33
Georgete,3972,14570.75
Georgete,3972.2,15232.89
Georgete,3972.4,15906.83
Georgete,3972.6,16592.64
Georgete,3972.8,17290.39
Georgete,3973,18000.15
